"GEO_ID","NAME","B01002_001E","B01002_001M","B01002_001MA","B01002_001EA","B01002_002E","B01002_002M","B01002_002MA","B01002_002EA","B01002_003E","B01002_003M","B01002_003MA","B01002_003EA",
"Geography","Geographic Area Name","Estimate!!Median age!!Total","Margin of Error!!Median age!!Total","Annotation of Margin of Error!!Median age!!Total","Annotation of Estimate!!Median age!!Total","Estimate!!Median age!!Male","Margin of Error!!Median age!!Male","Annotation of Margin of Error!!Median age!!Male","Annotation of Estimate!!Median age!!Male","Estimate!!Median age!!Female","Margin of Error!!Median age!!Female","Annotation of Margin of Error!!Median age!!Female","Annotation of Estimate!!Median age!!Female",
"0100000US","United States","37.3","0.1","null","null","35.9","0.3","null","null","38.7","0.1","null","null",
